time,title,description
[0:00],How they ended up in Genesee,Incidents on trip West to Genesee. Learning of Genesee and moving there.
[6:00],"Wet harvest, 1893 Depression",Wet harvest of 1893 and depression. Effects on the people.
[12:00],Settlements with different nationalities; harvest methods and machinery over the years; crops,"Family's first harvest, with a reaper (l894). Spread of wild oats led to summer fallowing (c. 1900). From headers to binders. Land prices rose quickly. Three settlements with different nationalities. Prairie sod; average yields. Broadcast seeding."
[23:00],"1893 Depression, effects on farms locally","A Moscow judge attempted to put all farms into receivership in 1894, but changed his mind when he saw the hanging crowd. One farmer who lost his land had hired servants. No credit on buying."
[29:00],Family home housed 13 people,Eikum's small house for thirteen people. Building of new house.
[30:00],Common illnesses; large family size but children die,"Big size of families, with many children dying. Sister's death from tuberculosis, another's from ""brain fever."""
[36:00],Language barrier; strict with children,Merchants weighed out to the exact coffee bean or sugar cube. He followed the strictness of his parents raising his own kids. He didn't speak English until going to school. His ability with figures.
[42:00],"Norwegian background, community in Cow Creek",Playing whist. Father's quick temper made him angry at a horse. Father's life situation in Norway. Site of Norwegian Community in Cow Creek.
[52:00],Norwegian Lutheran Churches on Cow Creek;,"History of two Norwegian Lutheran Churches on Cow Creek. People did not look at the other church as they walked by, and were discouraged from associating with members of the other church. Support of minister by community. Basis of dispute between churches in Scripture: ""Many are called but few are chosen."" Desire of local factions to be leader."
[1:00:00],Religion; Lutheran churches in region and in Norway,Young people's church groups. Loss of Our Savior's records when churches combined. Feelings toward other church. It took four ministers to confirm Mr. Eikum. Men worked their fields after church on Sunday. In Norway people had to show respect to religious figures.
[1:14:00],"Held parties, socializing at his home on Sundays; young people meetings",Bachelors socialized and drank at Eikum place on Sunday. Young people's meetings.
[1:17:00],Two suicides in one night rather than divorce,"February 14, 1901, two suicides on one night; why and how they did so, unknown to each other. A suicide rather than divorce."
[1:25:00],Buildings in Genesee moved by oxen,"Genesee moved when railroad came in, because farmers were asking too much for the right-of-way. Buildings moved by oxen - Rosenstein's store stuck in creek overnight."
[1:28:00],Genesee settlement by Jewish people;,"Jake Rosenstein and his store. Genesee settled by Jews (Alexander and Levi). Jews in Lewiston set prices on wheat, (continued)"
[1:30:00],"Jake Rosenstein's store in Lewiston, Genesee",More about Rosenstein. Paying store bills; buying groceries. Brewing coffee. Genesee stores. Politicians bought drinks.
[1:41:00],Anti-German sentiment during WWI,Anti-German sentiment during World War I.
[1:44:00],People disliked Vollmer,"People disliked Vollmer, who took over farms. Fort built in 1877."
[1:47:00],Vollmer sold alcohol to Native Americans; wet harvest of 1893,Thrashing crews boarded at farms. The crew stayed at Hove farm for six weeks during wet harvest of 1893. Vollmer got started by selling booze to Indians.
[1:54:00],Fire; storms; wife's family,Growth of wife's family holdings. A haystack fire and a hailstorm.
[1:59:00],Homesteading on Coeur d'Alene Reservation,"Homesteading on the Coeur d""Alene Reservation (1908). Not knowing about timber, he chose scrub brush for farming."
[2:00:00],St. Maries as a logger's town; Jewish merchants; Alder Creek homestead; social activities; logging accidents,"St. Maries, a logger's town. Methods of a Jewish merchant there. Life on the Alder Creek homestead: dances, church, ball games. Getting by. A logging accident crushed his foot; hospitalization. The man he sold the homestead to made money and skipped out."
[2:13:00],"WWI experiences (terrible living conditions, carrying live ammunition, bombs)","World War I experiences. Living in an underground cave at Verdun. Terrible living conditions. Carrying live ammunition. ""The Mythical Army at Verdun."" Armistice Day; he couldn't sleep after the shelling stopped. A general's order. A captain with airs. A lousy captain. Anti-German feeling in army. A man afraid of submarines on the boat. ""Flying pig"" bombs."
[2:30:00],"WWI memorabilia, friends killed",A Frenchman friend. Memorabilia from the war.
[2:36:00],"Churches cause division, dating",Divisions caused by churches. Dating.
[2:41:00],Mistreatment of Coeur d'Alene Indians by whites,Mistreatment of Coeur d'Alene Indians by whites. A squaw afraid that cars would spook her horse. A Nez Perce friend.
