speaker,timestamp,words
Lola Gamble Clyde,0:00:02,"And about, the farmer that had such a wonderful crop of wheat in the field, just bushels and bushels as the loviest wheat. So he went out and he had to bind it, of course, and then he had to shock it and he had to haul it into the Thresher machine and the Thresher machine, Thresher machine, Thresher machine, three or four weeks, and there was just all bushels and bushels of wheat. And so they put it on the great elevator. And after it was stored in winter came, and it got cold, and the mice moved in from the field. And one mouse came and carried away a grain of wheat. And another mouse came and carried away another grain of wheat. And another mouse came and carried away another grain of wheat. And it went on and on and on. Soon you might get the elevator emptied if you didn't get the children to sleep. But then you see in the meantime the farmer had raised another crop of grain and they went out and started all over again. And the kids were to sleep by that time. You just got them all out of bed and gave them a spank and went out and shut the door."
Sam Schrager,0:01:08,How many times would that work?
Lola Gamble Clyde,0:01:12,"Well, it generally worked. Of course, the other story they liked was the story about why cats and mice are better enemies. And it went like this. A cat and a mouse lived together in the same house. And they had a lovely little cow up in the deep woods. And they would milk the cow and take the cream off the milk and then they'd churn it into lovely golden butter. They had so much butter they said, let us put some of this butter away for the winter. So they got out a nice stone croc and they packed down the butter in the croc and they took the croc way out into the deep forest at the foot of the tallest tree so they could find it again. Here they dug a big hole and they sunk the croc of butter down into the ground. They covered it all over with dirt and then they covered it with leaves. They said, we'll just let it stay here till winter when there isn't any grass and the cow was dry and we don't have a bit of butter. So they skipped home as hard as they could go. So the days and the weeks and the months went by and after a while, why that, that mouse got the thinking drop. Oh, how good some of that nice, very sweet butter would taste. So finally one morning he went to the cat named the Mr. Cat. My sister's daughter is going to be married today and I must go to the wedding. Oh, very well said the cat. So away the mouse scampered through the deep green woods till it came at last to the tallest tree. And here he took off the leaves and he took off the dirt and he took off the lid and he ate and ate of that butter till all the top was off. Then he put back the lid, he put back the dirt, he put back the leaves and he skipped home as hard as he could go. And the cat saw him coming."
Sam Schrager,0:03:00,"And the cat said, oh, what?"
Lola Gamble Clyde,0:03:03,"Home so soon from the wedding, Mr."
Sam Schrager,0:03:04,Mouse?
Lola Gamble Clyde,0:03:05,"And I said, oh yes."
Sam Schrager,0:03:07,Did you have a good time at the wedding?
Lola Gamble Clyde,0:03:09,"Oh, excellent."
Sam Schrager,0:03:10,Was the bride beautiful?
Lola Gamble Clyde,0:03:12,Very beautiful.
Sam Schrager,0:03:14,What was the name of your sister's oldest daughter?
Lola Gamble Clyde,0:03:17,"The mouse thought a minute and he said, top off. Oh, said the cat, what a very strange name your sister's oldest daughter had. So the days of the weeks and the months went by and British and the mouse just couldn't stand it any longer. He just had to go back and taste the more of that good fresh butter. So once again, he said to the cat, Mr. Cat, my sister's second daughter is going to be married today and I must go to the wedding. Very well said the cat. So away the mouse ran through the deep green woods till it came at last to the tallest tree. And then they ripped off the leaves. He dropped off the dirt and he took off the lid and he ate and ate and ate of that good sweet butter till it was half done. Then he put back the lid, he put back the dirt, he put back the leaves and he ran home as fast as he could to their house. The cat saw him coming. What, Mr."
Sam Schrager,0:04:14,"Mouse, are you home so soon from the wedding?"
Lola Gamble Clyde,0:04:17,"Oh, yes, said the mouse."
Sam Schrager,0:04:19,Did you have a good time at the wedding?
Lola Gamble Clyde,0:04:21,"Oh, delightful."
Sam Schrager,0:04:22,Was the bride beautiful?
Lola Gamble Clyde,0:04:24,"Oh, very beautiful."
Sam Schrager,0:04:26,What was the name of your sister's second daughter?
Lola Gamble Clyde,0:04:29,"Said the cat. Again, the mouse thought a minute and said, well, her name was half done. My, said the cat."
Sam Schrager,0:04:40,What strange name is your sister's daughter's do?
Lola Gamble Clyde,0:04:42,"Had top off half done. So the days and the weeks and the months went by and once again, the cat and the mouse thought, I must have some more of that butter. I just can't stand a minute longer. Once again, he said, Mr. Cat, my sister's third and last daughter is being married today and I must go to the wedding very well to the cat. So way the mouse ran through the deep green woods till it came at last to the tallest tree and here he reached off the leaves. He took off the dirt. He took off the lid and he ate and ate until the butter was all gone. Let him put back the lid and he put back the dirty, put back the leaves and he skipped home as fast as he could do the cat. Cat's often gotten back Mr. Mouse home so soon from your sister's daughter's wedding. Oh, yes, said the mouse."
Sam Schrager,0:05:34,"Was that, did you have a good time at the wedding?"
Lola Gamble Clyde,0:05:36,"Oh, very fine time."
Sam Schrager,0:05:38,Was the bride beautiful?
Lola Gamble Clyde,0:05:40,"Very beautiful, said the mouse."
Sam Schrager,0:05:42,"By the way, what was the name of your sister's third and last daughter?"
