time,title,description
[1:00],Trapping a bear and why it's wrong to protect certain wildlife; using a variety of materials for bait for coyotes,"Trapping bear in spring for bounty. Wrong to protect bear and coyotes, because they kill deer and elk. Killing old horses for coyote bait. Setting traps for coyotes. Rotten fish bait for coyotes."
[10:00],How he trapped bear; how his father killed bears,Attracting bears with mashed apples or horsemeat mixture. Trapping a wily bear. Bears trying to get away with traps. Father killed bears with a club.
[22:00],Locating bear routes; people see overgrown coyotes not wolves; grading skin sizes,Few deer in the country then. Locating bear routes. People who think they sight wolves are seeing overgrown coyotes. Grading skin sizes. A huge mule deer.
[27:00],Learning to trap by experience with father,Learning to trap by experience with father. A man who fainted at the sight of blood.
[31:00],Taking the best part of the bear meat and living the rest,"Taking the sirloin, leaving the rest of the bear meat. There was no luck to trapping."
[35:00],Trapping mink; Persistence is important in trapping,Trapping mink. There were no beaver in the country when the family was first trapping. Their importance and persistence.
[41:00],Other animals caught in bear traps; what coyotes feed on in the winter and how smart they are,"Cougar; lynx caught in bear traps. Coyotes live on deer and elk in winter, and should be open for bounty. Coyotes outsmart hound hunters."
[48:00],Where father learned how to trap; Accident to his father with an ax,Father learned to trap in Pennsylvania. Increase of wildcats and raccoon. Father a strong man - he cuts his toe off with wire cutters after hitting it by mistake with an axe.
[56:00],Why they moved to the area; buying flour in Palouse; growing timothy and hay for horses in logging camps,"Home place - reason for moving to area in 1900. Went to Palouse a couple times a year, bought flour. Grew timothy and hay for horses in logging camps. People worked hard to get by in the early days."
[1:02:00],Old logging camps; fighting in the saloons in town; Clarkia was wild,"Old logging camps. Fighting at saloons in town, not camps. Clarkia was a wild town. Blacksmith Wes Allen cleaned up the punks in Spokane. Two men looking for action got beat up in Clarkia"
[1:14:00],Pat Malone hardly arrested anybody; getting drunk on the camp cook's wine.,Pat Malone hardly arrested anybody. Getting drunk on the camp cook's wine.
[1:22:00],Chuck Wells beating up a man; Joe Wells had the biggest funeral in Deary,"Chuck Wells beats up a man who called him ""nigger."" Joe Wells had the biggest funeral at Deary. Southern resentment of blacks."
[1:26:00],Big Gil carrying a 350 pound trolley up a hill; afraid to fight a little guy,"Big Gil carried a 350 pound trolley up the hill, and broke a peavey handle off with one hand. He was afraid to fight a little guy."
[1:29:00],His rheumatism caused by being hit with a falling tree,His rheumatism caused by being hit with a falling tree.
[1:34:00],Injuries as people got older; working in the woods at retirement age,Injury shows up when people get older. Working in the woods at retirement age.
[1:38:00],Cat logging ruining the country; Kinman made Potlatch boom river bank during log drive,Cat logging ruining the country. Kinman made Potlatch boom river bank during log drive.
[1:41:00],Discussion of the Shallop family,"The Shallop family, who avoided people because the mother was crazy."
[1:47:00],How the corporations are ruining the country - oil and auto in cahoots,How the corporations are ruining the country - oil and auto in cahoots.
[1:50:00],Potlatch was both good and bad for the country,"Potlatch Lumber brought jobs, but also ruined country. The public road money is given to them to build good roads so they can get logs."
[1:53:00],"Forest Service policies are hard on little guys, easy on companies.","Forest Service policies are hard on little guys, easy on companies."
[1:55:00],Fishing in the Palouse river; superiority of native fish over planters,"Fishing in the Palouse River, using a wash tub. Superiority of native fish over planters."
[1:58:00],Stopping the corporations; End of small towns.,Stopping the corporations. End of small towns.
