time,title,description
[0:00],Her first trip from Troy to Helmer,Her first trip from Troy to Helmer.
[5:00],Joe Wells family; only African-American family in area,The Joe Wells family. His strength as the only black man in the area. His daughter's marriage. Lou Wells was a wonderful woman.
[11:00],Marshall Hays shot in Troy,"After Marshall Hays was shot in Troy, people were ready to kill Sly."
[13:00],Helmer school had young teacher; first train through Helmer,Anna Marie Oslund taught them at Helmer school when she was not yet 18. The first train through Helmer.
[17:00],Moving from Kentucky to Troy; father's businesses,Her family came to Troy from Kentucky. Father's businesses.
[20:00],Grandfather settled on McGary Meadows; poor,"His grandfather was the only settler on McGary Meadows, and then sold out. His family's coming to Idaho. Father was too poor to leave country."
[27:00],Homesteaders; Jansville store unable to always give families credit,Homesteaders took a whole day walking to his father's store at Jansville. Mrs. Phelps cried when he said he couldn't give her family more credit.
[30:00],Giant white pine near Camp 8,"Homesteaders hoped to make money by selling to the lumber company, but they didn't pay much for the timber. A beautiful stand of white pine by Camp 8. A giant white pine."
[35:00],Cattle on Warren's Meadows,Cattle on Warren's Meadows. Cattle raising on meadows limited by having to feed cattle for six months.
[37:00],A bull running into a lady's house,"A bull he was herding ran into a lady's house, and she thought it very funny."
[41:00],His father and family played musical instruments; Pullman Christmas Contest,His father and family played musical instruments. His father at a Pullman Christmas Contest.
[48:00],Neighborhood dances moved from homes to schools,Neighborhood dances at people's homes; eventually they switched to schools.
[50:00],Campfire Pavilion built by Lawrences,"Campfire Pavilion - a dance and roller skating hall built by the Lawrences. The free feeling and mixing, with no rowdiness allowed. It was the most popular pavilion in the area, (continued)"
[1:00:00],Beating the dance hall competition; holiday celebrations at pavilion,Beating the dance hall competition. They sold the place when they got tired of it. Serving food. Holiday celebrations there.
[1:06:00],Her mother sold bread to the Greek railroad crews; went to Troy for supplies; Joe Wells horse story,Her mother sold bread to the Greek railroad crews. The boughery was used for summer gatherings. The railroad meant the coming of transportation and supplies. Going to Troy for supplies. Joe Wells hit his horse that bit him.
[1:11:00],Driving spoiled horses,"Driving spoiled horses. Some men could handle horses, others couldn't."
[1:16:00],IWW's cleaned up the camps,"As a family man he didn't want to live in camps. Companies look out only for themselves; IWWs cleaned up the camps, and were blamed for things they didn't do. T.P.Jones said it didn't pay to be good to people."
[1:23:00],Advantages of one room school; young teacher,Advantages of one room school. Anna Marie Oslund's father took her paychecks because she was so young.
[1:27:00],Lack of money made it hard for young people to continue school; Troy banker Brocke helped,"Lack of money made it hard for young people to continue school. Frank Brocke, Troy's banker, helped many people."
[1:29:00],Killing of Agnes Liner,"Killing of Agnes Liner, (continued)"
[1:30:00],"Killing of Agnes Liner, Jesse Dillman mean character",Killing of Agnes Liner; meanness in Jesse Dillman's character.
[1:34:00],Body lice travelling from Camp 6 to homes,Body lice invaded home from the logging camp. Camp 6 had hot water for washing clothes in the early days.
[1:39:00],Beginnings of Helmer; lodging at Jansville,Beginnings of Helmer. Lodging at Jansville.
[1:45:00],Contract logging for Potlatch,"Contract logging for Potlatch by Lawrence family. If you made money on one job, they took it away on the next. Experiences doing teamster work that other men couldn't do. Getting on the boss' bad side by making good money."
[1:59:00],Schoolteacher who frightened kids with closed knife,"The schoolteacher who frightened kids with a (closed) knife, (continued)"
[2:00:00],Story of the teacher throwing a knife,Story of the teacher throwing a knife.
[2:02:00],"Father's saloon at Jansville, town","Mr. Lawrence saw two guys near a dynamite blast. Father's saloon at Jansville: the lumberjacks chased the kids, Father built ""town"" on his homestead. A wire collector looked for Mr. Dent's wire, made in Jansville."
[2:10:00],"Her father's store; father had first car, stories about cars","Her father's store. His father had the first car, an Overland. The tire pump and the pig. Charging to ride in a car at an early fair in Deary. Buying first cars."
[2:16:00],Stories about Bill Helmer,Bill Helmer stayed at many local homes. He hid the section corners very well.
[2:19:00],"Helmer stores included pool hall, barber shop; six camps near Helmer in 1924",Helmer stores included a pool hall and barber shop. In 1924 there were six camps in the area around Helmer.
