time,title,description
[0:00],"Washing, washdays, clothes washing, etc.","Washdays: her great aunt washing Josh Lamphere's long woolen underwear. People bathed and changed underclothes once a week. Hard night""s sleep on handwoven woolen sheets. Troy was a metropolis to her with its night train whistles and bells on the cows. Washday at home: four hundred turns of the tub, lots of women's undergarments, and treats from father; boiling, rinsing, drying, and folding. By selling Follow Me and Ruby, her mother bought an electric washer and a piano which Grace played. Washdays in town during the war. Keeping clothes white today."
[16:00],World War I,"World War I. Father had to farm himself then^using Missouri mules with hard mouths, which strained his muscles. Her brother Lou, wishing to enlist, was rejected because of an old accident to his eye, but later was drafted. A severe neck injury put him in the hospital, unidentified, for months, for which he never received compensation. A twenty-four hour forced march without food or water. Lon threatens to kill a dumb lieutenant. Letters from war. The difficult adjustment of wars."
[28:00],Heart-in-hand marriages; native american and white marriages,"Heart-in-hand marriages, Will Nixon went back east for his wife: tragedies in the family. A quarrelsome Heart-in-hand marriage survived by endurance. Indian and white marriages. Lilly Viles had a teepee alongside her house; a children's story was that she had scalps."
[37:00],Food and travel out west,"Thousand Dollar Annie made a thousand dollars as a domestic on her way West. It was said the bread was put under the boy's blankets to rise in the morning. On the Fourth of July, the family picked cherries, baked and sold cherry pies for a dollar each, without taking out the pits. The daughter's pig herding."
[46:00],Pioneer cooperation,Pioneer cooperation. Grandmother gave Oregon Grape cordials to sick people; Mr. Wahl had to borrow money at 18%. How America has helped and given roots to her people.
[50:00],Women and appearances at home; dislike of hippies,"The importance of keeping up appearances at home. Women always looked well, kept the house and cooked well. Pride in homemaking. People took each other at face value. They dislike hippies because of their scruffy attitude towards life."
[55:00],Lean Christmas,Mother's ingenuity in celebrating a lean Christmas. Christmas presents. Paddhling father on his fiftieth birthday.
[1:00:00],Literary club in Genesee,"The literary club in Genesee got costumes from Spokane for Shakespeaieplays. Yodelers came with the lyceum. Jubilee Singers, who were Black, sang opera and spirituals."
[1:02:00],Earliest childhood memories,"Earliest childhood memories: ""I am three years old."" Mother's trouble keeping bedbugs out of the house; fighting flies."
[1:07:00],Piano playing at movies and parties,"Grace played piano at Genesee movie for $2. 50 a night. The blackness of night driving home. Cleaning out the piano so it would work. Parties, played cards and sang to piano. Kissing a man she didn't want to in a play."
[1:13:00],Going to town and other excitements,"Goodies from town. She spends fifty cents on candy for her friends, and feels guilty after. Celebrating at the stock shows. The uplifting music of the circus. Excitement of trips to Lewiston. Her first dance at the Dreamland."
[1:16:00],Genesee stores,Genesee stores. Smolt's confectionary had a wonderful atmosphere. Jake Rosenstein moved his store from the original site of Genesee when the railroad changed its location; his store was dark and had a strange odor.
