time,title,description
[0:00],Parents' coming to America; grandparents' homestead and shingle camp near Troy,Parents' coming to America and Genesee. Grandparent's homestead and shingle camp near Troy. By wagon from Genesee to Troy.
[14:00],Growing up on Cow Creek; ten children in a small house; move to Genesee,Growing up on Cow Creek. Ten children in a small house - most families were large. Family's move from farm to Genesee; sons moved out of the area.
[21:00],Girls expected to stay close to home; rarely did outdoor work,"Girls were expected to stay close to home. She rarely did outdoors work. Even when visiting, women were never idle with their hands."
[29:00],Cooking for uncle's threshing crew; threshing crew; moving the cook wagon; harvest season,Cooking for uncle's threshing crew - responsibilities and hard work. The threshing crew- migrants. Moving the cook wagon. Course of the harvest season.
[39:00],Father's dislike of town boys; their farming,Her father's dislike of town boys. Knowing husband for many years; their farming.
[43:00],Two churches in early days of Cow Creek divided the community,Two churches in the early days of Cow Creek divided the community.
[47:00],Union of the churches; confirmation; church activities; Ladies Aid raising money,More about union of the churches. Confirmation and other church activities for young people. Ladies Aid raised money for the church.
[57:00],Circus parades; dancing despite church's disapproval; school; seasonal weather,Children mistook circus parades for the circus itself. Dancing despite church's disapproval. School. Weather more seasonal in early days.
[1:05:00],The Rosensteins; Native American intermarriage,"The Rosensteins, a Jewish family. Indian intermarriage."
[1:10:00],Shivarees; father planted by signs; grandmother's stories,"Shivarees. Father planted by signs. Grandmother told stories about the ""little folks."""
[1:16:00],1893 wet harvest; father borrowing money,1893 wet harvest. Father borrowed money from Jake Kambitsch.
[1:21:00],Getting by in the early days,Getting by with a great deal of self-sufficiency in the early days.
[1:26:00],Starting marriage; Smolt's Confectionery,Starting marriage. Smolt's Confectionery.
[1:34:00],Norwegian newspaper from South Dakota; men talked politics; importance of music; children's play,"Family got a Norwegian newspaper from South Dakota. Men talked politics, women didn't. Importance of music in her family. Children's play."
[1:43:00],Experience with gypsies; CCC's,Experience with gypsies. CCC's.
