time,title,description
[0:00],Congressman Burton L. French draws crowd in Tory,Congressman Burton L. French draws a huge crowd in Troy.
[3:00],Emmett's first day at school,Emmett's foot gets caught in a deak on his first day at school.
[6:00],Winter logging; railroad shay engines,"Winter logging: hauling on ice crust; falling, branding and decking for the river run. Go-devil and dry-ass explained. Railroad shay engines."
[15:00],Driving over Great Divide of Rockies; everybody was poor,"Driving over Great Divide of Rockies, without knowing it. Boys put on shoes to travel to Spokane. Everybody was poor."
[19:00],Emmett playing chicken with William Laird; stinkbombs end balls at Potlatch; Potlatch Forest is dynamited,"Emmett plays chicken with William Laird (Potlatch Forests' general manager) and the chauffeur of his Hudson Super Six. Stinkbombs end the upperclass balls at Potlatch. Potlatch Forests' useless culvert is dynamited, and everybody wants to take the credit."
[27:00],PFI does what it pleases; coyote outsmarts a dog,"PFI, like the United States, does what it pleases, but those days are ending. A coyote outsmarts a dog, like the Communists did Nixon."
[31:00],Logging-out country; PFI closing down; former great timber; clearing land for homesteads,"Logging-out country: PFI closing down because they're not making enough profit. Former great timber; early attitude that supply was limitless. Waste in clearing land for homesteads; need for management, as in Germany."
[38:00],Gold Hill gold; local gold stock never recovered; monet lost on Spud Hill,Gold Hill gold: nuggets in chicken craws; hidden mother lode. The gold in the meadows means that Gold Hill once exploded. Bad local gold stock could never be recovered. Money lost investing in a mica mine on Spud Hill.
[44:00],Father came from Kansas to get rich gold mining,Father came to the north county from Kansas in 1890's to get rich by gold mining.
[45:00],Digging flume for a hydraulic mine in Garden Gulch; Jim Cochrane's lawsuit,"Father and partners dug flume for a hydraulic mine in Garden Gulch, but had to quit when home steader Jim Cochrane threatened lawsuit."
[48:00],Driving on old tires; souvenier hound displaying a Native American skull,Driving on old tires with fillers. Souvenier hound displays Snake River Indian skull in Kansas.
[51:00],Troubles getting grain to Clearwater from Peck; problems piping water from a Gold Hill spring,"Troubles getting grain down to the Clearwater from Peck. Kinman's problem piping water from a Gold Hill spring. People used to help each other, and were not greedy like today."
[58:00],Modern mill in Elk River; bicycle trip to Elk River,"Potlatch Forests built a modern mill in Elk River, then closed it. Bicycle trip on the old roads to Elk River. Boys wondered what a French woman looked like."
[1:06:00],Meeting people while traveling,Meeting people while travelling who know his neighbors in Idaho.
[1:09:00],Working at the Potlatch sawmill; frightened by operation in a Portland mill,"Working at the Potlatch sawmill: the nigger, and other equipment. Emmett frightened by the operation in a Portland mill. Shotgun-feed milling at Potlatch."
[1:15:00],Mammoth size of redwoods,Mammoth size of redwoods.
[1:23:00],Differences among types of trees,"The willow tree outside the wendow. Differences among yellow pine, bull pine, and bastard pine. Pine squirrels and seeds."
