time,title,description
[1:00],Moscow trial case on road survey lines,"Day vs. Stenger case. The survey line on Main Street was not drawn exactly north and south, and the variance increased as the addition went east. Steele ruled that the line had to be redrawn, but Orland (with Mr. Goff also working on the case) won an appeal from the state supreme court, which ruled that the lines recognized for more than fifty years would be law."
[7:00],"Enforcing prohibition as prosecuting attorney; case stories including Pat Malone, Albert Strom and Harry Gleave","Enforcing the state prohibition act as prosecuting attorney. Process of marketing moonshine. Italians made wine in Potlatch. A man arrested for possession drank the liquor before it was confiscated and couldn't be convicted. He delayed arriving at dinner parties when violation of the law became socially acceptable. In instructions to the jury he stressed the responsibility of Moscow to the parents of university students throughout Idaho to keep liquor away from their sons and daughters. Those in possession got fined, while commercial producers got sentenced. He enjoyed working with Pat Malone, Albert Strom (Troy) and Harry Gleave (Potlatch)."
[19:00],Potlatch and Onaway towns,"Potlatch was a company town, substantial and well-behaved during prohibition, while Onaway was not as good."
[23:00],"Abe accompanied police to crime scenes, helped with prosecution","He accompanied officers to the scene of serious crimes, which greatly assisted him in prosecuting the cases. Apprehending the prohibition violators; runners from out of the area were very difficult to catch."
[27:00],Court case of cattle rustler,"After dropping charges against a suspected cattle rustler for lack of evidence, additional work clinches the case, (continued)"
[30:00],Court case testimony of Elk River butcher,"Evidence included testimony of Carl JochkecK Elk River butcher, and proof of felony."
[35:00],Native American cases tried in Moscow,"Indian cases were tried at Moscow. Kinds of cases he tried. He sued the Northern Pacific for killing a young boy on the tracks, finding a 1906 Moscow ordinance that set the maximum speed at twelve miles per hour."
[40:00],Relationship with Potlatch Lumber Company,Working for and against Potlatch Lumber Company. Coming of Potlatch Lumber Company interests; Deary rejects Moscow for mill site.
[47:00],Post WWI Depression; Great Depression effects; declared bank holiday in Moscow to prevent panic,"Post World War I depression. The 1930's depression was not Hoover's fault. Crush of wheat market hit this area hard. Bank troubles; when the Old National Bank in Spokane closed down, he drew up a document which the mayor signed, declaring a holiday in Moscow, preventing a panic."
[1:00:00],National Recovery Administration; Depression ended with WWII,"National Recovery Administration developed codes for industry; locally, Mr. Goff was secretary and Burton French director of the voluntary organization which urged patriotic compliance. Depression ended with World War II. People didn't suffer much around here because life was far simpler than now. Prosperity of the twenties."
[1:14:00],Abe as state legislator from Latah County; life in Boise,"State legislator from Latah County: his major achievement was a bill permitting courts to set their own procedures. Retirement for judges. Social life in Boise: Mrs. Goff's popularity,"
[1:20:00],Army duty during WWII; elected to Congress in 1946; legislation he worked on,"Army duty during World War II. Elected to Congress in 1946, defeating Comp White. He was elected president of the freshmen Republicans, Richard Nixon secretary. Introduced and passed Forest Pest Controls Act, largely to combat tussock moth. Introduction and defense of Air Supremacy Act. (continued)"
