time,title,description
[0:00],No smoking while working; forest fires,Copenhagen instead of cigarettes. No smoking while working in the woods during summer; forest fire.
[6:00],Deary fires; lack of water; built homes in Deary,"Deary fires. Fire in butcher shop: lack of water in severe fire of 1923. They almost lost their grain, but the warehouse didn't burn. Farmers built homes in Deary."
[20:00],Jurgeson's store; post office moved to Deary; farmers rented homes out,Jurgeson built his store as soon as the town began; first he'd built at Nora. Early post office at Anderson moved to Deary. Farmers rented their homes out in Deary.
[25:00],Drunk man stuck whiskers in paint bucket; Troy saloon,"A drunk man stuck his whiskers in a paint bucket. Troy saloon keepers set up in the front of the Deary hotel, waiting for their saloon to be ready."
[30:00],Plots in Dry Creek cemetery; digging graves; death of Knott girls in a raft accident,"Problems locating plots in Dry Creek cemetery, Difficulty digging through clay in cemetery. Graves are no longer dug six feet. Digging graves as a group effort. Catastrophe when trying to dynamite a grave. A grave for three family members. Death of Knott girls in a raft accident."
[38:00],Deary and Bovill were Potlatch set-ups; Joe Wells' logging; dear eating gardens and orchards,The towns of Deary and Bovill were Potlatch set-ups by company men. The natural meadows were cut for hay. Beauty of the country in the early days. Joe Wells' logging. Land freezes too quickly; deer eating gardens and orchards. Yield of orchard on the farm.
[52:00],Frank Wells cured father's horse; racehorse was doped; insulted the Wells,"Frank Wells was a good blacksmith and horse doctor; he cured Alben's father's horse. Frank and Joe lost their racehorse when it was doped. Roy told Chuck to remember he was a ""nigger"". Some would insult the black Wells if they had a chance. Alben's brother worked for Joe and thought he was all right. Lou Wells used Copenhagen."
[1:00:00],Lou Wells' snuff; hay bailing; Lawrence tore his pants off,"Lou Wells' snuff; she was the boss. Joe Wells was tough - his hay baling. Lawrence tore his pants off in a tussle, and made him go into town to get another pair."
[1:07:00],Cutting and hauling lumber in the winter; cordwood in Deary; Troy Lumber Company sawmills; cutting timber,Cutting and hauling lumber in the winter of 1914 on the heavy snow cover. Low prices for cordwood in Deary. Size and set-up of Joe Wells' crew. Huge log decks. Troy Lumber Company sawmills. Alumberjack who wouldn't help his partner learn to saw. Lumberjacks were friendly in their own way. Gyppos made more money than salary men. Cutting timber.
[1:23:00],Plowing the neighbor's fields; clearing timber from land,"Plowing the neighbor's fields with a walking plough, starting when he was thirteen. Clearing timber from land by climbing high into the trees with a chain."
[1:27:00],Working in a threshing crew,"Working in a threshing crew, starting as a boy."
