time,title,description
[0:00],Early farming in the area and going to Kendrick with father,Early farming. Going to Kendrick with father.
[6:00],His father's interests in the area; farming their land and chores he did as a boy,"Father was on board of directors of Kendrick Roachdale Company, the farmers' co-op. Father's interest in development of country and civic work. They farmed more than 300 acres, part owned by relatives. He ran plow as a boy; family chores."
[15:00],Not missing school for work; how learning took place; and differences in size of the boys in school,His family very seldom missed school for work on the place. Schools on the ridge. An amazing amount of learning took place from listening to others recite. Overgrown boys in school were mean to the small kids.
[20:00],Mother's work; going to high school In Kendrick and adjusting to school in town,Mother's work - she quit teaching after marriage. Getting to high school in Kendrick. The dangerous grade; shortcuts by foot. Adjusting to school in town.
[29:00],School activities; Holidays at school; Dancing not allowed and then allowed in the 1920s,"Social activities in the community - Christmas celebrations. Dancing was taboo, games permitted. In the twenties they built a community hall for dances."
[30:00],Social activities and father's opposition to them; Conflict and cooperation on small communities; building a new church and church social activates,"Dances at the community hall. Father's opposition to dancing, cards and drinking. Conflict and cooperation in small communities - living with differences. Building of new church from United Brethren Church. Church socials, little work on Sunday; Sunday socializing."
[39:00],Neighbors were also family; why grandfather came west and first winter; preparing for winter then not going anywhere for its duration; winter work,"Neighbors who were relatives. Grandfather's settling on the ridge. He came west because of his asthma. Grandfather's story of the first winter (1883), living on rutabaga and bear meat. Yearly trip to Moscow for winter supplies. People holed up for the winter. Turnover of early population. Winter work."
[52:00],Hard times during the Depression; banking in Kendrick and Juliaetta; dislike of Vollmer,"Hard times for family in depression. Father's optimism about future. Closure of Kendrick State Bank in a run, when his father was president, reorganization with little loss of money. Juliaetta people withdrew money from Kendrick State, because it had absorbed their bank. Dislike of Vollmer, who foreclosed on some forms; S.D. White, Vollmer's hard-boiled agent."
[1:00:00],Being able to go to college; experiences at the university and working during school,"He didn't drink as a young man, though many did. Lack of opportunity in community for those who went to college. Few went to high school, extremely few to college. He naturally wanted to go to college, as did his siblings. Some resentment towards them for going to college. Friendliness of university. He worked while in school. A proctor cautioned the students about fraternities. College dances and other social life. Wife's family. The girls were controlled, which controlled the boys; Dean French. Lack of money for gas."
[1:15:00],What he studied in college but took over the family farm; leaving school because of the Depression; how the depression affected area farmers,"He studied business but took over the family farm. He had hoped to work in the bank. He left school for home during the depression, because his help was needed. Farmers had enough to eat. Some gave up their farms: a man persuaded to stay by federal banker."
[1:24:00],Issues in local politics; grandfather running as democrat; vary successes with bonding,"Grandfather's joke about Republicans; grandfather thought he was ""counted out"" when he ran for county commissioner as a Democrat. Moscow hasn't dominated county as much as many think. Road districts and varying success with bonding."
[1:29:00],School consolidation: he was on the reorganization board. Effects of temporary consolidation,School consolidation: he was on the reorganization board. Effects of temporary consolidation.
[1:30:00],School consolidation and the problems associated with it,"Burden of cost was on towns under temporary consolidation, beginning in the mid-thirties. Consolidation made it easier for high school students to get in."
[1:35:00],Which schools consolidated with whom; opposition to school consolidation,"Bovill wanted to consolidate with Elk River and Clarkia, but those towns opposed it. Acceptance of plan at Troy was won by Anna Marie Oslund's support. Overcoming Potlatch Corporation's initial opposition to consolidation, Disagreement over consolidation between Kendrick and Juliaetta; Juliaetta's last graduation."
[1:45:00],Rivalry between Kendrick and Juliaetta was intense; Involvement in Kendrick civic affairs; closing Southwick grade school,"Kendrick got started by giving land for the depot, while Juliaetta people wanted money. Rivalry over baseball. Rivalry was intense between the towns. Kendrick's business district has been more successful. Involvement in Kendrick civic affairs. Process of school consolidation around Kendrick; closing Southwick grade school."
[1:55:00],Dealing with criticism as a public official; why he ran for county commissioner; how he farmed while also working as commissioner; workload for commissioners,His response to criticism as a public official. Decision to run for county commissioner. Importance of help from wife. Hiring help for the farm while he worked as commissioner. Increasing workload for commissioners caused by greater responsibilities. Less welfare responsibility now. North Idaho fares well in terms of state.
[2:00:00],Working with state legislators and extension services; criticism of taxes and bad roads; keeping farming methods secret,"Acquaintance with state legislators who had similar backgrounds to his. Working with extension service - some farmers would have nothing to do with them, but picked up the new advances. There's more interest in government now, and more complaints. Criticism of taxes and bad roads. Farmers kept their personal methods secret."
[2:11:00],How the Grange provided social lives during Depression; patriotism during World War I,Growth of Grange in the depression provided social life. Nailing a flag to the home of a German who wouldn't buy liberty bonds. Necessity of patriotism in First World War.
[2:15:00],Decline of population and farm consolidation; lack of social life after marriage; IWWs were an issue and not trusted,"Consolidation of small farms, decline of population. Community life on the ridge in the thirties. Lack of social life after marriage during hard times. Meeting in schoolhouse against IWWs; unfounded suspicion of them causing a threshing machine fire."
[2:22:00],Threshing and the need for coordination; early clannishness of Scandinavian communities,"Threshing time. Coordination essential for quick threshing, which people preferred. Early clannishness of Scandinavian communities."
[2:27:00],Connection to the Wells family,Joe Wells; Wells brothers were close friends of his grandfather. Chuck Wells - his acceptance. Dan Ross.
[2:30:00],"Loss of Stony Point district to Lapwai, instead of Kendrick. Viola problems. Moscow made districts pay their own debts.","Loss of Stony Point district to Lapwai, instead of Kendrick. Viola problems. Moscow made districts pay their own debts."
[2:35:00],Differences between Republicans and Democrats in the county,"Little difference between Republicans and Democrats on local level, although Democrats seem to have more compassion for the poor. His acceptance of poor. He listens to people so they can speak their mind."
