time,title,description
[0:00],Chautaqua in Lewiston,Attending Chautauqua in Lewiston.
[6:00],Lewiston Normal School; farming equipment at home; church,"Father allowed her to go to Lewiston to Normal School if she'd pay her own way, while mother would have had her stay at home. Boys were preferable to girls for their field labor. The family fruit dryer. The cider press - the neighbors came for vinegar. She went to church by herself. He helped poor and neighbors."
[23:00],Poor neighbors; stole cider;,Neighbors pulled his house to new location. He stored seed corn in the house. Neighbors stole and drank his hard cider. Poor families received little sympathy unless they were working farmers. Contributions to a poor family.
[30:00],Fresh cereal,Cereal from fresh-ground flour-; hand mills.
[34:00],Latah County; Idaho County; as a teacher,"They moved to Idaho County because of husband's ambition to own a cattle ranch. He underestimated the problem of caring for children; he wanted her at home, but she needed to teach. Her love of Latah County. Her ambivalent feelings about their place in Idaho County."
[42:00],Helping Idaho County community; saved all her money for normal school,In Idaho County people were on an equal footing in their struggle. Her importance to Idaho County community. Helping out for families on American Ridge. She saved all her money to go to Lewiston School - $50. Harder work at home. A dinner she didn't want to cook.
[50:00],"Importance of school, getting away from home",Importance of going to school. Her prayers to leave home. Arrangements to get room-and-board. Her mother wouldn't allow her to pick fruit in Juliaetta; mother never took her measure. Preparation to go.
[57:00],Friendship with Raymond Harland; lonely at school,Her friendship with Raymond Harland; his encouragement when she started school. Her initial loneliness in Lewiston. Parents sent her exact fare to come home at Thanksgiving.
[1:00:00],City life verses country life; working for room and board; Lewiston,Work for room and board. Country vs. city: sophistication of the elite. Friendship with the woman she'd previously kept house for. Desire to be knowledgeable. Putting people at ease. Learning in Lewiston.
[1:18:00],"Teacher training, certificates",Importance of adequate training before teaching. Ability in school made her friends. Schooling and certificates.
[1:30:00],Teaching in one-room schoolhouse,Children proceeded at their own pace in her one-room schools. Combining subjects.
[1:33:00],"Dealing with schoolchildren stories (paralysis, beating)",She helped the doctor recognize a boy's paralysis as caused by a tick. A drunk neighbor who beat his sons when drunk.
