time,title,description
[0:00],How Boas ended up in Moscow,He chose security of Moscow over adventure of going overseas. He came to Moscow as a long-term commitment.
[3:00],Importance of Daily Star-Mirror (local newspaper) to Moscow,Prominent Moscow businessmen in the 1920s. Importance of Moscow Daily Star-Mirror to the town. People took the Spokesman Review for national news. The paper's major responsibility is to be the watchdog over public institutions: importance of challenging police secrecy. Right of the people to a free press.
[10:00],Libel suit against the newspaper; death threat,A libel suit against the newspaper for using a police blotter report which was not accurate; the paper won on a point of residency. A death threat if he ran a story.
[20:00],Issues with sheriff; newspaper as paper of record for its community,The paper criticized the sheriff for rough handling of prisoners. An argument with the court clerk over withholding news of record; he turned down requests from couples who wanted marriage notices withheld. Each newspaper should be the paper of record for its community. The New York Times is the nation's paper of record.
[24:00],Small town editors can't be objective about local issues,"Recording social events from outlying areas: names make news. In Moscow more important news took precedence. The paper took stands on major national issues but not local issues or candidates: small town editors can't be objective about local issues. Vendettas of small town editors in the teens - Pete Orcutt's libel, (continued)"
[30:00],Popularity of personal journalism,Personal journalism was universal in the teens. A newspaper organization should present a single entity rather than a collection of individuals.
[35:00],Boosterism of local newspapers; businesses verses rest of Moscow community,Boosterism of local newspapers is universal and natural. All towns have faults which should be recognized - narrowness of Moscow streets. Everyone wants his town to grow. Chamber of Commerce activity to attract new business. Differences between businessmen and rest of community.
[43:00],Integration between university and town; promotion of university to legislature via news articles,There was greater integration between university and town in earlier days. Prominence of university news in local paper Moscow promoted university with legislature. Chamber of Commerce. Moscow leadership was close-knit.
[49:00],"Banks in Moscow (Melgarde's, State Bank)",Leading businessmen collectively pledged their assets to keep Melgarde's bank open. He lost 500 on the dollar at the Moscow State Bank.
[54:00],Farmers hit hard during the Depression; university enrollment increased,"Working people were not very hard hit during the depression, except the farmers. The paper burned wheat in the stoker as a publicity stunt. Moscow was in better shape than other towns because university enrollment increased."
[59:00],Bulgin revival,"He was arrested after attending the Bulgin revival for the Argonaut, for no reason except publicity for Bulgin."
[1:00:00],"Prohibition, bootlegging",Failure of prohibition - he and his father both made wine. Hap Moody's skill in apprehending bootleggers. Going to the Pastime as a student.
[1:05:00],Athletics at the University of Idaho; President Kelly,"President Kelly didn't get along at the university - he tried too many reforms and didn't get cooperation from the faculty or town. Kelly's opposition to support for athletes led a group of businessmen to provide funds, which were hidden in the bank as the ""Kelly Estate"". When the bank closed, this was thought to be an actual estate. Acceptance of athletics."
[1:14:00],Frank Robinson; merging of two papers (Star Mirror and News Review),"George Lamphere, his partner, was a fighter who stood for what was right. He called the situation of Frank Robinson's place of birth to the attention of the immigration authorities. Despite Robinson's claim, Lamphere would charge him no more for printing than anybody else. Their break came when Lamphere demanded that Robinson repay his large debt. Robinson was always pressed for money because he was overextended. Businessmen felt that Robinson was running a racket he didn't believe in. His wife and children were well respected in Moscow. Merge of the Star Mirror and News Review, (continued)"
[1:30:00],Frank Robinson starts newspaper,Robinson took no role in Idahoan management. Neither newspaper made money during their competition. Robinson started the newspaper out of his desire to create an ego image to reflect across the nation. Robinson Lake.
[1:39:00],Moscow as Republican stronghold; Boas did not run for political office; journalism at the university,Importance of dances in Moscow social life. No strong organizational life. Moscow was perhaps the Republican stronghold of Idaho. He promised his wife that he wouldn't run for political office; this was better for the paper and avoided conflicts of interest over job printing. Cooperation of newspaper with journalism at the university.
[1:46:00],Newspaper business rivalry between Pullman and Moscow,News is what someone wants to read. Business rivalry between Moscow and Pullman. Moscow's merchants were more vigorous. The new shopping center will help existing town businesses. WSU overshadows Pullman much more than University of Idaho does Moscow.
[1:55:00],"Newspaper background, freelancing during World War I, Depression",His newspaper background - he put his way through college during the post World War I (WWI) and the Great Depression by freelancing.
