time,title,description
[1:00],Father was a cook in Spokane,Father a cook in Spokane. He helps out as a child.
[5:00],Learning lumberjack cooking,Learning lumberjack cooking from an old cook.
[10:00],Making pies; sources for recipes,Making pies quickly. Sources for recipes. Advantages of baking powder.
[13:00],Limited variety of foods,Limited variety of foods in early days.
[15:00],Breakfast menu; canned milk; meal schedule; breakfast bells,Breakfast menu. Scarcity of canned milk. Daily schedule for meals. Breakfast bells.
[25:00],Dinner menu; problems with lunches,Dinner menu. Problems with packing lunches.
[30:00],Supper menu; ordering supplies,Supper menu. Ordering supplies.
[37:00],Early logging camps; IWWs striking; men burned blankets in the camp,Terrible conditions in early logging camps. Lice. IWWs justified in striking to improve conditions. They were not responsible for violence blamed on them. Men burn all blankets in the camp in protest.
[51:00],Improved conditions in logging camps,Improvement of conditions in logging camps.
[55:00],Increase in variety of food,Great increase in variety of food. The change was gradual.
[1:00:00],Change in logging camp conditions,Gradual change of conditions in logging camps.
[1:02:00],Cooks' abilities; solved problems by hiring women,Variation in cooks' abilities. Problem with drink among migratory cooks. Trouble with keeping flunkies was solved by hiring women. Details of the kitchen that flunkies often overlooked.
[1:13:00],Opinion of cooking; men wanted hotcakes to be hot,Cooks had good opinion of their cooking. Men were particular about their hotcakes being hot.
[1:20:00],Cooking for over 300 men; responsibilities of head cook,"Cooking for over 300 men at Camp 35. Size of crew and dining set-up. Responsibilities of head cook. His insistence on washing hands after using toilet,"
[1:30:00],Man who washed his feet in the kitchen washbasin,A man who washed his feet in the kitchen washbasin.
[1:32:00],Utilizing leftovers,Importance of utilizing leftovers.
[1:37:00],Lumber companies went to gyppo cooks and kitchens; unions complained,Why the lumber companies went to gyppo cooks and kitchens. The unions complained. Mr. Justice provided plenty of good food and variety.
[1:45:00],Difficulty pleasing everyone; time off,Difficulty pleasing everybody. Lumberjacks liked to have a new cook because he always cooked differently. Monotony of camp life made men concentrate on the cooking Monotony for the cook too. Time off.
[1:53:00],Arrangements for gyppo cooking; opposition from the union,"Arrangements with the company for gyppo cooking. Mr. Justice's success with this set-up. Opposition from the union—they try to force him to work for wages, although they themselves gyppoed."
[2:00:00],Billings asked to join union; Mr. Justice quit; his replacements,"Billings, Potlatch general manager, asked Mr. Justice to join the union, because they were threatening to strike if he didn't. So Mr. Justice quit. His replacements."
[2:05:00],Bovill restaurant during the war; problems of food rationing; long hours and little help,Operating the Bovill restaurant during the war. Problems of getting food under rationing. Had to buy cases of inferior cigarettes and soap to get regular quality items. Long hours and little help available.
[2:14:00],Feast at Christmas; New Year's feast; getting meals on time,Feast in camp at Christmas. One year Axel Anderson gave the men a New Year's feast too. The cook worked closely with the foreman to get meals exactly on time.
[2:20:00],Changing of cooks,Need for changing of cooks to provide something new.
[2:22:00],Picking up tips from dishwashers; kitchen ovens and planning,A cook can learn something new every day. He can pick up great tips from dishwashers. Cooking in large amounts compared to small. Kitchen ovens and planning.
[2:30:00],Planning; convenience of machines for baking,Planning the cooking. Convenience of machines for baking.
[2:32:00],Problem with flies; summer heat,Great problem with flies. A fly trap. Terrible summer heat.
[2:40:00],Kitchens and dining rooms; mice and pack rats,Early kitchens and dining rooms. Mice and pack rats.
[2:48:00],Bears; cub killed by drunk loggers,Bears around camp. A cub is killed by drunk loggers.
[2:54:00],Kitchen wages,Kitchen wages.
