time,title,description
[1:00],"Logging discussion about thinning, clearing","Brush taking over the country since it was logged. Thinning helps the timber grow back. Once cleared, the land went into crop instead of grazing. Wherever yellow pine grows is good farm land. In winter there's hardly any snow on the ground any more."
[10:00],Farming the land too hard; use of fertilizer,"Fertilizer is taking the life from the soil, just like too much medicine can kill a person. Continuous farming makes the ground hard and lifeless. When Dick farmed in Nebraska, manure and straw kept the ground loose. Because people selfishly try to make the most money today, they won't leave much land in good condition for future generations."
[20:00],"Winter weather then and now; hunting deer, pheasants",More about the change of winter weather. You used to get deer whenever you wanted one. Treating of wheat has killed off pheasants.
[26:00],Showering in logging camps,Showers; getting hit with cold water in the logging camp; girls got showers in camp; a method for outdoor showers.
[28:00],"Water witching, drilling","Water witching. Using a forked willow or peach. Two witches trace a water vein better than the professionals. Dick's driller stops when he hits water, instead of going deeper, (continued)"
[30:00],Wells and water witching,"Wells and water witching (continued). A well that was dug too deep lost the water. Dynamiting may bring water or lose it. The witcher follows the vein, holding the stick as tight as he can; when he gets on the water, the stick dips over for each foot that must be dug. Dick doesn't know where the ability to witch comes from, but suspects it could be electricity in the body. An artesian well."
[44:00],Local dances and fighting; drinking whiskey,"Dances. Dick takes care of a guy who's making trouble at a dance, but gets slapped by his girl, whose father makes her go home. May and her sister get hauled home by their father for doing the shimmy. Stopping a fight at Onaway. Fights caused by whiskey. The boys got free passes because they keep the peace. May describes Dick putting on a bender at a party."
[54:00],"Cousin Sam Crumley, beating people","Dick got mad when somebody mistook him for his cousin, Sam Crumley. Crumley once insulted his sister. Crumley and his brothers beat a neighbor with a board with a nail in it. Dick threatened to get them with a gun if they beat him. Sam helps his son beat another boy, and the boy's father nearly kills him. (continued)"
[1:00:00],Threatening those who beat others,Sam Crumley (continued). Art Farley tells of scaring him off with a gun. All communities have such a man.
[1:04:00],Riding a carriage in a mill,Emmett Utt got torn up from riding the carriage in the mill.
[1:09:00],Chicken stealing,"Chicken stealing for fun and feed. Dick steals Charlie Hawkins' chickens (himself a chicken thief) and confesses twenty years later. Dick and his friends trick some novice chicken stealers, and help bust up an election meeting."
[1:14:00],Tricks on the Benge's wedding night (shivaree),Shivarees. A bridegroom is tricked into stealing Dick's chickens (May). A gunnysack in newlyweds' stovepipe (May). Timing.
[1:21:00],"Tricks and ""jobbing"" people","More ""jobbing"" people. The gang tricks Kelly into believing a bear is after him. Art tells how they tried to job him. A logger who thinks he's tricking a guy into snipe hunting loses his new mackinaw."
[1:30:00],"Tricks, chasing family for candy",May tells how she and Art's sister-in-law chased Art down and got his candy.
[1:34:00],How the couple met; shivaree discussion,"The Benges tell how they were shivareed, and how they met. May was misled to believe Dick was somebody else."
[1:38:00],How Dick got his nickname; chicken stealing story,"Dick explains his nickname, Dick. Stealing Maude Thrasher's chickens for a feed at her place. May tells ""an old wives tale"" when old people are likely to die."
[1:41:00],Stories of Dick's fights; dog gets shot,Dick's fights. Art and May describe them. Dick tells of a mean fight with Glen Ross who shot his dog.
[1:49:00],"Discussion about stealing, tricks on neighbors",Stealing. Sugar and canning jars disappear. Dick fixes gas thieves with some diesel.
