speaker,timestamp,End Time,words
Sam Schrager,00:00:02:27,00;00;22;04,"This third interview with Gus Demus took place at his home in Potlatch on October 24th, 1975. The interviewer is Sam Schrager."
Sam Schrager,00:00:22:07,00;00;33;08,"About the, working conditions in Potlatch. When you when you started to work here, what what they were like. It was a."
Gus Demus,00:00:33:10,00;01;11;15,"Well, the working conditions there then the issue, were, harsh. There, there. We worked ten, ten hours a day. And, the, workers were small because, everything else was, you know, it was, cheaper. Now, you could have. But the issue was them, those were for $3. Now you have to pay 30 and and 40 and 20, you see."
Gus Demus,00:01:11:18,00;01;25;20,"But that had them. Not just that. Then, to be fair, you know it for the time."
Gus Demus,00:01:25:22,00;01;41;28,"Yeah. As far as other conditions were concerned, then you have no union. There are no unionized. Your boss was, the whole thing. You could fire you and, you and his will."
Sam Schrager,00:01:42:00,00;01;47;26,"There's no no protection for the a. No, for your job. Really?"
Gus Demus,00:01:47:28,00;02;20;06,"Well, no, but you had to attend your business in order to get the job. You know? There was no nothing like that. No union. Protection. No, up to World War one. Then they started to unionize after the eight hour, eight hour. They you when in effect."
Sam Schrager,00:02:20:09,00;02;26;28,"Did, did the bosses,"
Sam Schrager,00:02:27:00,00;02;30;13,"Were they very understanding of the,"
Gus Demus,00:02:30:15,00;03;08;25,"They they were understanding. If you, then your business, you see, if you, if you do the work and they were all right. But if you, loafing, you only were you wouldn't stay very long in a job. On the job, you see. But, them days, everybody was trying to do the best. And that's why I had, they had a lot of foreign people, you know, and, single men, down here, because there wasn't very many men, married men."
Gus Demus,00:03:08:27,00;03;45;02,"And that's why why you had all this, the gambling and stuff, you know, as far as gambling concerned, were shooting dice here just for fun sometimes. And then when I started to, use money, you know, then, of course, from, from the side we got, a little higher, but not too, not too high to lose all your all your, earnings."
Gus Demus,00:03:45:04,00;04;09;24,"And there was, poker games and there was girls coming from Spokane out here during the early days up to. Oh, I see, After World War One. So."
Sam Schrager,00:04:09:26,00;04;14;09,You you think you said you figured it.
Gus Demus,00:04:14:11,00;04;43;29,"But there were there were all that straight down there was for Greeks and Italians. And they were all our bachelors, very few married men. There were 2 or 3, probably 2 or 3 families. And the Japanese boys the same way. They had some jobs. They had a Japanese boarding house and they had, they had probably 25 men, and there was only one woman there cooking for them."
Gus Demus,00:04:44:01,00;04;52;01,"Women and men who, but it was, really common."
Sam Schrager,00:04:52:04,00;04;55;26,"They had to have women here to keep the men, I would think."
Gus Demus,00:04:56:00,00;05;21;10,"Well, sometimes. Yes, they didn't bother. You see, they could the diner, obviously, the, it was, not, you know, not within a knowledge of the of the, if they knew it, but they weren't sure of it, and they didn't bother to look into that. You see, because they know that, they're the you're seeing him."
Gus Demus,00:05:21:15,00;05;50;15,"They have to have their, women once in a while. And when they bring in their from Spokane or to. And then, they don't bother and then let it go for a while. And, of course, they don't stay very long. There wasn't there wasn't regular, prostitute house, but in the agreement, they had heard it there and in Saint Mary's."
Gus Demus,00:05:50:17,00;05;59;28,Same thing. Very regular whorehouse. In other words.
Gus Demus,00:06:00:03,00;06;22;23,"But here they did, anything permanent because you could go home and you saw one year you and the company didn't want anything like that, but they usually, broke the weekends, you know, you know, to bring a girls in in, stay over for one night or two in a short."
Gus Demus,00:06:22:25,00;06;32;05,"Usually one night, Sunday night. She. Because they work. They work, ten hours a day."
Gus Demus,00:06:32:07,00;07;05;11,"There were, Or bachelors from almost all home. High tolerance and Greeks, the Greeks are all all bachelors because there was no human here at all. And, there wasn't one to be found in Spokane, even nowadays. But now, of course, they did move. And, brought their families and, It's a cool, quiet community. They have it."
Gus Demus,00:07:05:14,00;07;24;00,"The church, I notice the other day already over there. So you have, Oh, you all, those are the show food and other things for the benefit of the church."
Sam Schrager,00:07:24:03,00;07;32;11,"Well, why why was it that they. That none of the women followed from."
Gus Demus,00:07:32:13,00;08;02;12,"Degree, they didn't follow because, they had nothing here to support that? You see, in order to bring the woman here without him in the farm or to have a steady job. And they were all flooded people, you see, they didn't they didn't have a steady job. They probably. Get a job here and put you on a bus or you are."
Gus Demus,00:08:02:12,00;08;20;20,"You are out in the water. The their show, the ones you've done. And then, you're out. She they usually don't do shifts. You. Then, of course, when the business go down, why they're did the show the one she had done."
Sam Schrager,00:08:20:22,00;08;33;28,"So you used. You mean in the early years that, the jobs that that the Greeks and Italians had word, you couldn't consider them a permanent job or steady job?"
