time,title,description
[0:00],Fourth of July Celebrations; Ball games against locals and outsiders; Native American Horse Races,"Early Fourth of July celebrations in local neighborhoods. Other occasions for getting together. Ball games:shifting sides to play against outsiders; feuds could be put aside, Horse races with Indians and locals: betting, kinds of horses."
[19:00],Driving to Spokane; The Difficulties of building a Farmers Union; Advantages of Grange,Driving back to Spokane. Farmers Union an organization of farmers to better their conditions. Effort to attract new members. They brought attention to the farmers' plight but were not effective. Different kinds of farmers made it difficult to find common purpose. Advantage of Grange over the other organizations. The Grange stores.
[30:00],Joined Grange at thirteen; Travelled in hard weather for meetings; Dances after meetings,Commonness of Grange halls. He joined at thirteen; Grange needed more attendance. The younger members didn't mind the hard weather to get to Grange. Dances after meetings. The schoolhouse was the center for all meetings.
[44:00],Family discussions with Kathy Jacobs,"Family discussion with daughter,Kathy Jacobs,(not transcribed)"
[54:00],People cooperated together; Barn raisings,People cooperated with each other as far as they were able. Barn raisings.
[1:00:00],Neighbors helped when needed; Haying for a man with rheumatism,"Help from neighbors: They knew when you needed it, you didn't ask for it. Community haying for a man with rheumatism."
[1:08:00],Gambling on the Harvard farm; Continuing depressions; starting over and the reluctance to invest in land,"His gamble on the Harvard farm, Desperation of banks; continuing depressions. Successful alfalfa crop. The effects of having to start over again. His reluctance to take chances by investing in land."
[1:22:00],Raising sheep and dealing with bears,"His sheep raising, which was easy money for him. Partnership with a sheepherder. Dealing with bears. Moving the herder, gently,"
[1:30:00],Moving to a new neighborhood in Palouse River; School board meetings; Wartime wages,"When he moved to the new neighborhood, some long-time residents weren't outgoing, but there were other newcomers as well, School board meetings. Palouse River was friendlier because there was more turnover there.Wartime wages."
[1:41:00],Sack sewing and labor during the war,"Sack sewing during the war for $17.00 a day. No exchange labor during war.His injury sack sewing,"
[1:47:00],Conditions of a new farm and clearing land in free time,"Conditions of the farm when he bought it. Clearing the land with horses. Need to make a living meant that clearing was done in spare time. Cleared land called ""tamarack soil."""
[1:55:00],Wheat crop failure at Harvard; feeding cows ruined crop,Loss of wheat crops at Harvard. Hay was always his crop. Feeding ruined wheat crop for cattle around '48.
[2:00:00],Building early houses and using available space,"Use of space in small house on the new place. Building early houses. Layering wallpaper, using cheap wallpaper. Two children to a bed."
[2:11:00],Building a log house in 1950; Construction took 10 years,"Building the log house they live in now(starting 1950), Cutting logs and trying to get them by the miller. Use of logs. Course of house constructing was ten years, Wiring by himself because the contractor wanted the whole job. His experience helping others build their own houses. Learning woodworking in high school. The instructor said ""if you could build a perfect box you could build anything."
[2:26:00],High school and college in Pullman; Living in Pullman and working at a dairy,"Going to high school in Pullman, connected with WSC, which taught four years in three. It was a hard course of study. Living in Pullman with others in a one-room shack. He worked four hours a day at the dairy. Entertainment in Pullman."
[2:30:00],Working while attending school; Studying animal husbandry,His earnings while in school. School was set up for district without schools. He went to study animal husbandry. The decision to go was the young people's.
[2:37:00],School in Potlatch; Boarders took advantage of Glen's sisters,"Distance to school in Potlatch. His sisters lived and worked there, and were taken advantage of by the people they boarded with; her sisters had the same experience."
[2:41:00],Bad housing conditions at Camp 11; IWW improved conditions; Potlatch punished pro-union employees,"Description of bughouse in Camp 11. 75 men in the room drying their clothes every night. Lousy bunkhouses. Farmers took better care of hogs than Potlatch their men,The cook shack had good food, IWW success in improving conditions within, one year. Potlatch punished employees who sympathised with union by denying them retirement benefits, Potlatch opposed union because it cut into profits. Firing employees."
[2:56:00],Working as a teamster from 1918 to 1926,"His work in woods from 1918 to 1926 as teamster: he could always get a team. He preferred skilled work that paid more,"
