time,title,description
[0:00],"Life in Boise (play, swimming, skating, riding streetcars); Boise River; Chinese vegetable gardens","Play for young people in Boise: swimming in irrigation canals, skating on ponds, riding streetcars. Boise River polluted by dredging. Chinese vegetable gardens."
[7:00],Boise is isolated; Natatorium; Idaho's first Boy Scout troop hike in foothills,"No statewide events because of isolation. Boise fair. Boise ""fire run."" The Natatorium and its allure. Hikes into the hills around Boise with what was perhaps Idaho's first Boy Scout troop."
[14:00],His father placed train depot facing the capitol building; Boise city hall torn down; family home on Warm Springs,The state legislature didn't affect most Boise people. His father was responsible for suggesting the placement of the Union Pacific depot facing the capitol building. He was sorry to see the Boise city hall torn down. His uncle's home on Warm Springs Avenue.
[19:00],Father was mayor of Boise for two terms,His father was mayor of Boise for two terms.
[23:00],"Relationship to William Borah; Borah and Will Rodgers, influence on foreign policy",Acquaintance of family with William Borah. Will Rodgers' public letters to Borah. Borah's influence on foreign policy and his standing in Idaho.
[29:00],Boise college-bound attended University of Idaho in Moscow,"Most college-bound Boise people went to the University at Moscow, (continued)"
[30:00],Boiseans attending Moscow university; stories of Bill carpenter; English skills not as developed by many,"Boiseans going to the University. Bill Carpenter's remarkable ability to prosper despite his physical paralysis. High school debating. An Idaho Rhodes Scholar's winning point in an England debate. Going to college was a foregone conclusion for him. Fewer people went, which may be why English skills were higher. It was difficult to persuade students to work on using English properly because of the social influences outside of the classroom."
[46:00],"Inter-family relationships, with others in Boise, his parents college experience","Little disciplining from parents. They wanted him to study, not to work his way through school. How families knew each other in Boise. He worked a year before going to school. Parents' college experience."
[56:00],University of Idaho President Lindley wrote out speech for newspaper story,University President Lindley went to the trouble of writing out parts of his speech for Mr. Sherman to file in a newspaper story on his high school commencement.
[58:00],"Moscow verses Boise, seemed more primitive, living accommodations for students was poor","Moscow seemed primitive compared to Boise, but the school was respectable. Living accommodations for new students were poor."
[1:00:00],"Old and new Phi Delta houses; cook at fraternity; Hell Week activities; serenading, dances on campus","The old and new Phi Delta houses: dirt in the old house, christening the new. The cook at the fraternity. Hell Week activities. Friendship within and outside the fraternity. Serenading was very common on the campus. Dances."
[1:13:00],No movies allowed in Moscow; walked train tracks for fun; Dean French rules of conduct,"Sunday walking down the railroad tracks, with no movies allowed in town. Rules of visiting at houses. Dean French's rules of conduct - her lectures on table manners, requiring coat and tie for dinner at houses."
[1:20:00],Importance of fraternities at University of Idaho; religious sects; discrimination against Jews,"Importance of fraternities, and their power at the college. Cliquishness of fraternities - students could be crushed by being turned down, some favored certain religious sects. Discrimination against Jews by houses, despite liking them; prominence of Jews in Boise."
[1:30:00],Freshman punishments; Senior Sneak cancellation; thievery,"Freshmen ""punishments."" Cancellation of the senior sneak, A fraternity was out-smarted by a thief."
[1:36:00],Stories of Fat and Ray Stephens; importance of football to students,"Fat Stephens. He outsmarted a peddlar. The time Fat was out-smarted. Ray Stephens forgot that football should be fun. Importance of football to the students. The players got jobs waiting tables, causing resentment in Lindley Hall."
[1:49:00],"Student activities (pajama parties, bonfires); played Stanford",Pajama parades and bonfires. An outstanding Idaho team beaten by Stanford.
[1:53:00],Babe Brown wrestling match against pro; coaching career,Babe Brown's wrestling at high school in Boise against a pro. He wrecked a planned match against the champ. His coaching career.
