time,title,description
[0:00],Political Tradition; Tax Consolidation; Husband's Support,Republican party a family tradition. She learned about taxes and consolidation because of her family's need for better schooling. Consolidation began prior to the legislature's decision to support it in 1947. Opposition to consolidation in Juliaetta. Husband's support of her work.
[9:00],Mentally Disabled Children,How children who are retarded protect themselves: she worked with them in school.
[14:00],Lewiston High School; Encouraging Sons to play Bass,Sending her children to Lewiston for high school by car. Encouraging son to play bass rather than football.
[16:00],Lapwai Problems; Culdesac's Concerns about Their New School,Lapwai's serious problem during consolidation. Culdesac's concern about losing their new school. Increased bussing of younger children.
[23:00],Consolidation in Small Communities,Selling consolidation to small communities: more educational activities were available to the children. Resistance to consolidation came from old people and big farmers.
[30:00],Local Progress; Voting Precincts,Voting precincts kept small communities going after they lost schools. Local attitudes towards progress. Her hope for an overall medical program.
[39:00],Rattlesnakes Near the Homestead; Caution about Rattlesnakes,Feeling of permanence from homesteading. Hard work of homesteading. Killing her first rattlesnake. Caution about rattlesnakes - they don't kill them on the hillsides.
[47:00],Homesteading,"Satisfaction of homesteading. Isolation of living across the river. Spilling harvested beans off the hillside; drying and sorting them in the house, as she read the Saturday Evening Post aloud."
[57:00],Desirability of Older Teachers; Crossing the Potlatch; Women's Right to Vote in Idaho,Married women might teach if they wanted to. Desirability of older teachers. A drowning at Arrow. Crossing the Potlatch could be tricky; they arranged work on the other side with the river in mind. Women got right to vote in Idaho before anywhere else because their votes were needed for the population count.
[1:00:00],Rationing in World War I,Biblical quotation about a virtuous woman. Fairness of rationing in the First World War.
[1:03:00],Truck Farming; Melons and Corn,Albrights started truck farming because he got lead poisoning from painting. Success of family truck farming. Superiority of non-irrigated melons. They saved their own seed. Melons and corn. Raleigh's parents were the first in the area to develop truck farming in a major way.
[1:11:00],Romance; Loss of First Born,"Romance and satisfaction of building a home and family. Loss of her first born, a blue baby, despite the doctor's efforts."
[1:17:00],Health Problems; Service During the War,Raleigh's health problem. Children and the service during the war.
[1:25:00],Whooping Cough; Teaching Children; Son's Dating,Importance of her children. Whooping cough. Teaching children when they're ready to learn. Teaching them to be honest. Son's dating.
[1:30:00],Talking to the Children,Talking to the children.
[1:32:00],Poultry; End of the Business; Growing Turkeys,"She developed a broad-breasted turkey with advice from the University. Saddles to protect the hens. Advantage of the new breed for cooking. End of the business. Growing turkeys - incubation problems. They responded to her voice. Turkeys' nature - roosting, hurting themselves."
[1:52:00],Missionary Work; Presbyterian Church; Playing the Organ for Sunday School,She had to work on the garden on Sunday despite her religious convictions. Her lay missionary work with the Nez Perce at the South Methodist Church at Lapwai. Stephen Reuben had been thrown out of the Presbyterian Church ministry because he had been drinking; he petitioned and was accepted by the Methodist Church. She played the organ for Sunday school.
[2:00:00],Native American Relations; Speaking During Prayer; Christmas Celebrations,"Indian funerals - Stephen Reuben was mad at her for missing one. ""Making statements"" before the congregation and Steven Reuben. Heartfelt testimonies. Speaking during prayer. Club activities to help Christmas celebrations for the Nez Perce. Decline of church activities. Indian confession of sins, which whites would keep to themselves. Courtesy in listening to congregates."
[2:22:00],Raising Turkeys,Cycle of turkey raising.
[2:26:00],Methodist Church; Public Dinners,Stephen Reuben's praise for Mrs. Albright at a Methodist Conference. Public dinners at the Lapwai Church. Star J. Maxwell was minister at the church.
[2:30:00],Changes at the Church; Pressure on Native Americans to Accept Traditions,Sophie Corbett disciplined the children at church. Inability to fund training for a new minister. Pressure on Indians to accept white traditions.
[2:38:00],Mormon Congregation,Answers to prayer. Mormon congregation took Methodists.
[2:42:00],Work in the State Legislature; Opposition to Public Spending,"Work in the State Legislature. She was the first to vote in the roll call, and some followed her lead in education and welfare. Opposition of large corporate interests to public spending. She went to a hospital with her criticisms. Her defense of some social spending by people on welfare."
[2:53:00],Women in the Legislature; Working on State Commissions,"She got assistance from local people on issues. She fought against restriction of homesteading. There were six women in the legislature. She studied hard. After her defeat, she worked on a number of state commissions. Advantage of asking questions."
[3:00:00],Legislature Problems,She would have been put on the Board of Education but she didn't have a degree. Her statement about expertise hit the Boise newspapers. Problem of being a non-drinker at legislative and lobbying parties. Driving a fellow legislator home.
[3:09:00],Appointed to the Legislature; Local Legislators; Belief in a Constructive Program,She was appointed to the legislature after Joe Rosencrantz disappeared in a plane. Little help from more experienced local legislators. As a woman she had to prove herself. Her belief in a constructive program. She couldn't afford to stay at the hotel where some of the legislators did. Support of the school at Lewiston. Jews in Boise. Friendship with Edith Miller Klein.
[3:23:00],Trading for Votes,"Trading votes with southern Idaho legislators - ""situation ethics"". Trading a vote for the liquor tax for support on Dworshak Dam; a vote on road tax for one on corporate roadside rest areas."
[3:27:00],Summer Work,How Lou Easter King worked a summer for the Albrights. She is now president of a national union of dormitory maintenance people.
[3:30:00],Students at WSC; Chuck's Reputation,"Lou Ester King's experience as maintenance superintendent while a student at WSC. Mary (Wells) King. Chuck's reputation for ""bristling""; Buying ice cream with her."
[3:38:00],Chiropractor Training; Dr. Foster's Lack of Morality,"Raleigh started to train to be a chiropractor with Dr. Foster, but was repulsed by his lack of morality."
[3:42:00],Methodist Church Affiliation,Her Methodist Church affiliation.
[3:43:00],Judging People by Their Ethics; Importance of Prosperity,"People are judged by their ethics rather than their money. People are judged as individuals in our society. Rich people are often poor in spirit. Importance of prosperity to people, and of service too."
