time,title,description
[0:00],"Life in Cameron, Kansas; work with farmers afraid of REA",Beginnings of area 858. Henry helped convince local farmers who were afraid the government would take over through REA. REA in Cameron (Kansas) and Island. Some families couldn't afford to join.
[4:00],Job with Rural Route Mail delivery,Henry worked to Rural Route Mail delivery. People didn't take to the idea at first.
[6:00],Local road districts between Kendrick and Southwick,Problems with fixing the road between Kendrick and Southwick. Much of the work done on it was voluntary. Local road districts.
[10:00],"Farming in Kansas, Canada, Montana, and Idaho at Southwick","Farmed three years in Cameron, then went to Canada circa 1906. Snowed out, went to Montana to homestead. Returns in 1913 and buys 160 acres at Southwick. Brother's hard times."
[15:00],Crop prices during Great Depression; retirement,"During the Depression, Henry sold wheat for 21 cents per bushel and beans for less than 1 cent per pound. Hired local kids to help harvest, prices didn't pay back harvest costs. Economy slow until World War II. Henry retires in 1941 at the age of 60."
[17:00],"Life in Cameron, Kansas as a child; worked carpentry jobs with his father","Growing up on 5 acres in Cameron. Father was a carpenter, built the first church in Cameron for $500-600 dollars. Lumber to build second church cost $4,000 to $5,000 dollars."
[19:00],Child employment on farms,"Working as a child; hoeing or weeding for 25 cents per day. later, was hired out for nine months at $160 dollars."
[22:00],1893 Depression; use of Nez Perce Reservation,"1893 Depression; no money at all in circulation, everything was barter. Opening portions of the Nez Perce Reservation for homestead improved the economy. Moving settlers to the Reservation with a four horse team. Driving hope. Rhyme about the 1893 Depression in Cameron went ""Cameron Town, the grimmest Street. And the Royalty Hotel and nothing to eat."""
[26:00],Carpentry jobs near Genesee,Walking with father to jobs near Genesee. Carrying tools and hardware to jobs using a sack over his shoulders.
[28:00:00],"Followed buffalo trails, used bones for fuel source",Life in Kansas as a child. Buffalo slaughters on prairie provided family's following the buffalo trails back to this area. They burned buffalo bones as fuel.
[30:00],Living through winter in a dugout,Winter in a dugout in Montana and Canada.
[37:00],"Experience in logging camps in winter, log booms","Working in Montana logging camps. Winter conditions. Texas cattle stuck in blizzard. Hollowing logs, booms on lake going down the river."
[41:00],Farming beginnings; life during Great Depression,"Starting to farm on his own at age 21 with $400 dollars. Later, buys 40 acres from parents and made good money until 1930 Depression, many people lost their land through overpopulation. Growing own food in Depression, prune dryers, ration tickets. Small farmers have a hard time now. In the Depression, many tried to say interpret on land, supplemented by raising everything."
[58:00],Father's buildings still standing,Buildings built by father still standing. Cycles of good and bad times.
