time,title,description
[0:00],Bulgin revival; newspaper reports; churches involved,"Bulgin revival. The newspaper reports. Churches involved. Location of the tabernacle. Each night was reserved for a particular denomination. Moscow was ""hidebound."""
[8:00],The Sunshine Chorus; attack on Christian Scientists by Bulgin,The Sunshine Chorus. Cheering was worth varying amounts of money. Attack on Christian Scientists by Bulgin. Where the money that was collected went.
[12:00],Bulgin reported as slandering the University; newspaper entries covering the revivals,"Bulgin reported as slandering the university. University was ""sinkhole of iniquity""to Bulgin. Newspaper entries covering the revivals. Bulgin accuses one of the Mann Brothers of being syphilitic. The lawsuit is dismissed in Moscow and appealed to the state Supreme Court."
[21:00],Flashlight Chorus; Bulgin got into fight with George Lamphere,Flashlight Chorus. Mrs. Scnimke reads from her own recollections. Bulgin took the trouble of having his people deputized as soon as they came to town. Bulgin got into a fight with George Lamphere which ended Bulgin's newspaper publicity. One woman said that Bulgin left a trail of lawsuits all over the country.
[27:00],Ministers took turns in writing newspaper accounts during the revival,"Ministers took turns in writing newspaper accounts during the revival. By cutting publicity, interest was cut from the revival the townspeople. Her father didn't approve of revivals."
[30:00],More of her account of the revival; competition between kids,More of her account of the revival. Competition between the kids. Excitement of revival rivalled the movie serials. Sunshine Chorus banquet. The star of the competition.
[50:00],Night service was sermons; tabernacle was temporary structure,Night service was sermons. Tabernacle was temporary structure that held 2000 people. Kids always had to wear their coats inside because of cold.
[53:00],The legal action of the libel citation concerning Bulgin,"The legal action of the libel citation concerning Bulgin,local court's action reflected the clout of the religious community."
[59:00],Bulgin's method was to stir up town for money,Bulgin's method was to stir up town for money.
[1:00:00],Methods continued; what became of Bulgin,"Method's continued. What became of Bulgin. He anticipated and wanted trouble when he came to town. It got exciting when he took off after local life in Moscow, i.e, the University or other religious groups."
[1:14:00],Lamphere being a fighter gave courage to the college boys who went after Bulgin; Robinson-Lamphere conflict,Lamphere being a fighter gave courage to the college boys who went after Bulgin. A little about the Robinson-Lamphere conflict. Lamphere's personal tragedy and his own death. Pressure from Moscow businessmen to consolidate the Star-Mirror and the News Review. More about the tabernacle.
[1:22:00],"A victory garden preceded the tabernacle site, then a Christian church","A victory garden preceded the tabernacle site, then a Christian church."
[1:29:00],Main Street business doesn't hold the same clout that it did,Main Street business doesn't hold the same clout that it did.
[1:30:00],coming of the supermarkets first brought outside control; Moscow businessmen relegated to the role of ordinary citizen,Coming of the supermarkets first brought outside control. Moscow businessmen relegated to the role of ordinary citizen after fifty years of running the political scene. Kenworthy broke it wide open for outside business when he opened the new Safeway. End of charqe accounts and home delivery.
[1:36:00],"Why people preferred chain stores over small, credit offering stores","Why people preferred chain stores over small, credit offering stores. Original Safeway site. Penney's and Piggley Wiggley were first Moscow chain stores."
[1:42:00],Mr. Schmike came to Moscow in '28 to attend law school,"Mr. Schmike came to Moscow in ,28 to attend law school. Location and facilities of first law school. Professors from Harvard. First day freshman law school speech. Change in enrollment after the war. Some things in Idaho law that are unique unto themselves."
[1:59:00],University life in the late '20's and early '30's,University life in the late '20's and early '30's.
[2:00:00],Why the Schimkes didn't meet at school; Law School was a world to itself; houses and dorms built for out of town students,Why the Schimkes didn't meet at school. Law school was a world to itself. Houses and dorms built for out of town students. Fire department verses Dean French for outside stairways on student housing. Recollections of Dean French.
[2:06:00],It helped town girls to have good grades or parents' homes to entertain in to get into sororities; desirable sorority living,It helped town girls to have good grades or parents' homes to entertain in to get into sororites. Faculty members' children joined the organization their parents belonged to. Desirability of sorority living.
[2:12:00],Anne Bolinger and her confusion over which sorority to join; later became an opera singer; early day rush for sororities,"Anne Bolinger and her confusion over which sorority to join. Later she became an opera singer, dying of cancer while very younq. Early day rush for sororities."
[2:25:00],Membership was expensive; bonds issued on the houses; generally the houses carried prestige,Membership was expensive. Bonds issued on the houses. Generally the houses carried prestige. Backlog of tests in the houses helped the people who lived there.
[2:29:00],Regents had an interest in Greek houses for the contribution they made to student housing,Regents had an interest in Greek houses for the contribution they made to student housing. Rosauers property was twined by the university.
[2:30:00],Regents encouraged Greek housing by developing Nez Perce Drive; ability to borrow on revenue bonds gave university credit for buying power,Regents encouraged Greek housing by developing Nez Perce Drive and by promising 99 year lease for nominal rent. The ability to borrow on revenue bonds gave the university credit for buying power. The university could get more housing per dollar through the Greek organizations than by building a new dorm.
